,timestep,sentence,words,num_words,mean_word_length,num_syllables
26,174848,"William Wakefield in Lancaster Jail, and Edward Gibbon Wakefield in Newgate, which sentences were duly enforced.","['william', 'wakefield', 'in', 'lancaster', 'jail,', 'and', 'edward', 'gibbon', 'wakefield', 'in', 'newgate,', 'which', 'sentences', 'were', 'duly', 'enforced.']",16,6,29
27,114176,"The marriage was annulled by an Act of Parliament, although Wakefield petitioned against it,","['the', 'marriage', 'was', 'annulled', 'by', 'an', 'act', 'of', 'parliament,', 'although', 'wakefield', 'petitioned', 'against', 'it,']",14,5,23
28,115456,"and was brought from Newgate, at his own request, to oppose the second reading of the bill.","['and', 'was', 'brought', 'from', 'newgate,', 'at', 'his', 'own', 'request,', 'to', 'oppose', 'the', 'second', 'reading', 'of', 'the', 'bill.']",17,4,23
29,188416,"He also wrote and published a pamphlet from the jail to show that Miss Turner had been a consenting party to the marriage, and was really his wife.","['he', 'also', 'wrote', 'and', 'published', 'a', 'pamphlet', 'from', 'the', 'jail', 'to', 'show', 'that', 'miss', 'turner', 'had', 'been', 'a', 'consenting', 'party', 'to', 'the', 'marriage,', 'and', 'was', 'really', 'his', 'wife.']",28,4,38
30,147456,"Neither his address nor his pamphlet availed much, for the bill for the divorce passed both Houses.","['neither', 'his', 'address', 'nor', 'his', 'pamphlet', 'availed', 'much,', 'for', 'the', 'bill', 'for', 'the', 'divorce', 'passed', 'both', 'houses.']",17,4,24
31,142080,"That Mr. Wakefield was a shrewd critic and close observer of all that went on in the Newgate of those days,","['that', 'mr.', 'wakefield', 'was', 'a', 'shrewd', 'critic', 'and', 'close', 'observer', 'of', 'all', 'that', 'went', 'on', 'in', 'the', 'newgate', 'of', 'those', 'days,']",21,4,28
32,97280,"will be admitted by those who have read his book on ""the punishment of death,","['will', 'be', 'admitted', 'by', 'those', 'who', 'have', 'read', 'his', 'book', 'on', '""the', 'punishment', 'of', 'death,']",15,4,21
33,134144,"which was based on his jail experiences, and of which I have availed myself in the last chapter.","['which', 'was', 'based', 'on', 'his', 'jail', 'experiences,', 'and', 'of', 'which', 'i', 'have', 'availed', 'myself', 'in', 'the', 'last', 'chapter.']",18,4,22
34,124928,"After their release from Lancaster and Newgate respectively, both Wakefields went abroad.","['after', 'their', 'release', 'from', 'lancaster', 'and', 'newgate', 'respectively,', 'both', 'wakefields', 'went', 'abroad.']",12,6,20
35,122624,"Mr. W. Wakefield served in a continental army, and rose to the rank of colonel,","['mr.', 'w.', 'wakefield', 'served', 'in', 'a', 'continental', 'army,', 'and', 'rose', 'to', 'the', 'rank', 'of', 'colonel,']",15,4,24
36,109312,"after which he went to New Zealand, and held an important post in that colony.","['after', 'which', 'he', 'went', 'to', 'new', 'zealand,', 'and', 'held', 'an', 'important', 'post', 'in', 'that', 'colony.']",15,4,20
37,185344,"Mr. E. G. Wakefield took part in the scheme for the colonization of North Australia, and for some years resided in that colony.","['mr.', 'e.', 'g.', 'wakefield', 'took', 'part', 'in', 'the', 'scheme', 'for', 'the', 'colonization', 'of', 'north', 'australia,', 'and', 'for', 'some', 'years', 'resided', 'in', 'that', 'colony.']",23,4,33
38,96256,"Miss Turner subsequently married Mr. Legh of Lym Hall, Cheshire.","['miss', 'turner', 'subsequently', 'married', 'mr.', 'legh', 'of', 'lym', 'hall,', 'cheshire.']",10,5,20
39,177664,"It must not be imagined that although highway robbery was now nearly extinct, and felonious outrages in the streets were rare,","['it', 'must', 'not', 'be', 'imagined', 'that', 'although', 'highway', 'robbery', 'was', 'now', 'nearly', 'extinct,', 'and', 'felonious', 'outrages', 'in', 'the', 'streets', 'were', 'rare,']",21,5,35
40,90880,that thieves or depredators were idle or entirely unsuccessful.,"['that', 'thieves', 'or', 'depredators', 'were', 'idle', 'or', 'entirely', 'unsuccessful.']",9,6,15
41,61696,"Bigger ""jobs"" than ever were planned and attempted,","['bigger', '""jobs""', 'than', 'ever', 'were', 'planned', 'and', 'attempted,']",8,5,12
42,180736,"as in the burglary at Lambeth Palace, when the thieves were fortunately disappointed, the archbishop having, before he left town,","['as', 'in', 'the', 'burglary', 'at', 'lambeth', 'palace,', 'when', 'the', 'thieves', 'were', 'fortunately', 'disappointed,', 'the', 'archbishop', 'having,', 'before', 'he', 'left', 'town,']",20,5,33
43,125440,"sent his plate-chests, eight in number, to the silversmith's for greater security.","['sent', 'his', 'plate-chests,', 'eight', 'in', 'number,', 'to', 'the', ""silversmith's"", 'for', 'greater', 'security.']",12,5,17
44,82688,The jewelers were always a favorite prey of the London thieves.,"['the', 'jewelers', 'were', 'always', 'a', 'favorite', 'prey', 'of', 'the', 'london', 'thieves.']",11,4,18
45,199424,"Shops were broken into, as when that of Grimaldi and Johnson, in the Strand, was robbed of watches to the value of six thousand pounds.","['shops', 'were', 'broken', 'into,', 'as', 'when', 'that', 'of', 'grimaldi', 'and', 'johnson,', 'in', 'the', 'strand,', 'was', 'robbed', 'of', 'watches', 'to', 'the', 'value', 'of', 'six', 'thousand', 'pounds.']",25,4,35
46,177152,"Where robbery with violence was intended, the perpetrators had now to adopt various shifts and contrivances to secure their victim.","['where', 'robbery', 'with', 'violence', 'was', 'intended,', 'the', 'perpetrators', 'had', 'now', 'to', 'adopt', 'various', 'shifts', 'and', 'contrivances', 'to', 'secure', 'their', 'victim.']",20,5,36
47,201728,"No more curious instance of this ever occurred than the assault made by one Howard upon a Mr. Mullay, with intent to rob him.","['no', 'more', 'curious', 'instance', 'of', 'this', 'ever', 'occurred', 'than', 'the', 'assault', 'made', 'by', 'one', 'howard', 'upon', 'a', 'mr.', 'mullay,', 'with', 'intent', 'to', 'rob', 'him.']",24,4,36
48,178688,"The latter had advertised, offering a sum of one thousand pounds to anyone who would introduce him to some mercantile equipment.","['the', 'latter', 'had', 'advertised,', 'offering', 'a', 'sum', 'of', 'one', 'thousand', 'pounds', 'to', 'anyone', 'who', 'would', 'introduce', 'him', 'to', 'some', 'mercantile', 'equipment.']",21,5,33
49,141568,"Howard replied, desiring Mr. Mullay to call upon him in a house in Red Lion Square.","['howard', 'replied,', 'desiring', 'mr.', 'mullay', 'to', 'call', 'upon', 'him', 'in', 'a', 'house', 'in', 'red', 'lion', 'square.']",16,4,26
50,145664,"Mr. Mullay went, and a second interview was agreed upon, when a third person, Mr. Owen,","['mr.', 'mullay', 'went,', 'and', 'a', 'second', 'interview', 'was', 'agreed', 'upon,', 'when', 'a', 'third', 'person,', 'mr.', 'owen,']",16,4,27
51,123648,"through whose interest an appointment under Government was to be obtained for Mullay, would be present.","['through', 'whose', 'interest', 'an', 'appointment', 'under', 'government', 'was', 'to', 'be', 'obtained', 'for', 'mullay,', 'would', 'be', 'present.']",16,5,25
52,210944,"Mr. Mullay called again, taking with him five hundred pounds in cash. Howard discovered this, and his manner was very suspicious;","['mr.', 'mullay', 'called', 'again,', 'taking', 'with', 'him', 'five', 'hundred', 'pounds', 'in', 'cash.', 'howard', 'discovered', 'this,', 'and', 'his', 'manner', 'was', 'very', 'suspicious;']",21,5,34
53,139264,"there were weapons in the room -- a long knife, a heavy trap-ball bat, and a poker.","['there', 'were', 'weapons', 'in', 'the', 'room', '--', 'a', 'long', 'knife,', 'a', 'heavy', 'trap-ball', 'bat,', 'and', 'a', 'poker.']",17,3,24
54,122624,"Mr. Mullay became alarmed, and as Mr. Owen did not appear, withdrew;","['mr.', 'mullay', 'became', 'alarmed,', 'and', 'as', 'mr.', 'owen', 'did', 'not', 'appear,', 'withdrew;']",12,4,20
55,196864,"Howard, strange to say, making no attempt to detain him; probably because Mullay promised to return a few days later, and to bring more money.","['howard,', 'strange', 'to', 'say,', 'making', 'no', 'attempt', 'to', 'detain', 'him;', 'probably', 'because', 'mullay', 'promised', 'to', 'return', 'a', 'few', 'days', 'later,', 'and', 'to', 'bring', 'more', 'money.']",25,4,39
56,172544,"On this renewed visit Mr. Owen was still absent, and Mr. Mullay agreed to write him a note from a copy Howard gave him.","['on', 'this', 'renewed', 'visit', 'mr.', 'owen', 'was', 'still', 'absent,', 'and', 'mr.', 'mullay', 'agreed', 'to', 'write', 'him', 'a', 'note', 'from', 'a', 'copy', 'howard', 'gave', 'him.']",24,4,35
57,93440,"While thus engaged, Howard thrust the poker into the fire.","['while', 'thus', 'engaged,', 'howard', 'thrust', 'the', 'poker', 'into', 'the', 'fire.']",10,4,15
58,161792,"Mullay protested, and then Howard, under the influence of ungovernable rage, as it seemed, jumped up,","['mullay', 'protested,', 'and', 'then', 'howard,', 'under', 'the', 'influence', 'of', 'ungovernable', 'rage,', 'as', 'it', 'seemed,', 'jumped', 'up,']",16,5,29
59,109312,"locked the door, and attacked Mullay violently with the trap-ball bat and knife.","['locked', 'the', 'door,', 'and', 'attacked', 'mullay', 'violently', 'with', 'the', 'trap-ball', 'bat', 'and', 'knife.']",13,5,21
60,136192,"Mullay defended himself, and managed to break the knife, but not before he had cut himself severely.","['mullay', 'defended', 'himself,', 'and', 'managed', 'to', 'break', 'the', 'knife,', 'but', 'not', 'before', 'he', 'had', 'cut', 'himself', 'severely.']",17,4,26
61,99072,"A life and death struggle ensued. Mullay cried ""Murder!""","['a', 'life', 'and', 'death', 'struggle', 'ensued.', 'mullay', 'cried', '""murder!""']",9,5,13
62,143616,"Howard swore he would finish him, but proved the weaker of the two, and Mullay got him down on the floor.","['howard', 'swore', 'he', 'would', 'finish', 'him,', 'but', 'proved', 'the', 'weaker', 'of', 'the', 'two,', 'and', 'mullay', 'got', 'him', 'down', 'on', 'the', 'floor.']",21,4,28
63,121344,"By this time the neighbors were aroused, and several people came to the scene of the affray.","['by', 'this', 'time', 'the', 'neighbors', 'were', 'aroused,', 'and', 'several', 'people', 'came', 'to', 'the', 'scene', 'of', 'the', 'affray.']",17,4,22
64,96000,"Howard was secured, given into custody, and committed to Newgate.","['howard', 'was', 'secured,', 'given', 'into', 'custody,', 'and', 'committed', 'to', 'newgate.']",10,5,18
65,142080,"The defense he set up was, that Mullay had used epithets towards him while they were negotiating a business matter,","['the', 'defense', 'he', 'set', 'up', 'was,', 'that', 'mullay', 'had', 'used', 'epithets', 'towards', 'him', 'while', 'they', 'were', 'negotiating', 'a', 'business', 'matter,']",20,4,32
66,151296,"and that, being an irritable temper, he had struck Mullay, after which a violent scuffle took place.","['and', 'that,', 'being', 'an', 'irritable', 'temper,', 'he', 'had', 'struck', 'mullay,', 'after', 'which', 'a', 'violent', 'scuffle', 'took', 'place.']",17,4,29
67,216576,"It was, however, proved that Howard was in needy circumstances, and that his proposals to Mr. Mullay could only have originated in a desire to rob him.","['it', 'was,', 'however,', 'proved', 'that', 'howard', 'was', 'in', 'needy', 'circumstances,', 'and', 'that', 'his', 'proposals', 'to', 'mr.', 'mullay', 'could', 'only', 'have', 'originated', 'in', 'a', 'desire', 'to', 'rob', 'him.']",27,4,44
68,137984,"He was found guilty of an assault with intent, and sentenced to transportation for fourteen years.","['he', 'was', 'found', 'guilty', 'of', 'an', 'assault', 'with', 'intent,', 'and', 'sentenced', 'to', 'transportation', 'for', 'fourteen', 'years.']",16,5,25
69,206336,"A more complicated and altogether most extraordinary case of assault, with intent to extort money, occurred a few years later.","['a', 'more', 'complicated', 'and', 'altogether', 'most', 'extraordinary', 'case', 'of', 'assault,', 'with', 'intent', 'to', 'extort', 'money,', 'occurred', 'a', 'few', 'years', 'later.']",20,5,36
70,79872,"It was perpetrated upon a respectable country solicitor,","['it', 'was', 'perpetrated', 'upon', 'a', 'respectable', 'country', 'solicitor,']",8,6,17
71,146944,"Mr. Gee, of Bishop Stortford, who administered the estate of a certain Mr. Canning, deceased.","['mr.', 'gee,', 'of', 'bishop', 'stortford,', 'who', 'administered', 'the', 'estate', 'of', 'a', 'certain', 'mr.', 'canning,', 'deceased.']",15,5,27
72,166400,This Mr. Canning had left his widow a life interest in two thousand pounds so long as she remained unmarried.,"['this', 'mr.', 'canning', 'had', 'left', 'his', 'widow', 'a', 'life', 'interest', 'in', 'two', 'thousand', 'pounds', 'so', 'long', 'as', 'she', 'remained', 'unmarried.']",20,4,27
73,56064,The money went after her to her children.,"['the', 'money', 'went', 'after', 'her', 'to', 'her', 'children.']",8,4,11
74,167680,"Mr. Gee had invested one thousand two hundred pounds of this, and was seeking how best to place the remaining eight hundred pounds,","['mr.', 'gee', 'had', 'invested', 'one', 'thousand', 'two', 'hundred', 'pounds', 'of', 'this,', 'and', 'was', 'seeking', 'how', 'best', 'to', 'place', 'the', 'remaining', 'eight', 'hundred', 'pounds,']",23,4,34
75,161280,when he was asked to meet a Mr. Heath in London with regard to the sale of certain lands at Bishop Stortford.,"['when', 'he', 'was', 'asked', 'to', 'meet', 'a', 'mr.', 'heath', 'in', 'london', 'with', 'regard', 'to', 'the', 'sale', 'of', 'certain', 'lands', 'at', 'bishop', 'stortford.']",22,4,28
76,60672,"An appointment was made and kept by Mr. Gee,","['an', 'appointment', 'was', 'made', 'and', 'kept', 'by', 'mr.', 'gee,']",9,4,13
77,189184,"but on arrival he was met by a young sailor with a letter which begged Mr. Gee to go to Heath's house, as the latter was not well.","['but', 'on', 'arrival', 'he', 'was', 'met', 'by', 'a', 'young', 'sailor', 'with', 'a', 'letter', 'which', 'begged', 'mr.', 'gee', 'to', 'go', 'to', ""heath's"", 'house,', 'as', 'the', 'latter', 'was', 'not', 'well.']",28,3,36
78,146944,"Mr. Gee went in the coach sent for him, and alighted at twenty-seven, York Street, West, Commercial Road.","['mr.', 'gee', 'went', 'in', 'the', 'coach', 'sent', 'for', 'him,', 'and', 'alighted', 'at', 'twenty-seven,', 'york', 'street,', 'west,', 'commercial', 'road.']",18,4,27
79,214272,"The coach immediately drove off; Mr. Gee entered the house, asked for Mr. Heath, was told he would find him in the back kitchen at breakfast.","['the', 'coach', 'immediately', 'drove', 'off;', 'mr.', 'gee', 'entered', 'the', 'house,', 'asked', 'for', 'mr.', 'heath,', 'was', 'told', 'he', 'would', 'find', 'him', 'in', 'the', 'back', 'kitchen', 'at', 'breakfast.']",26,4,38
80,109824,"He was about to descend the stairs when three persons, one of them the young sailor,","['he', 'was', 'about', 'to', 'descend', 'the', 'stairs', 'when', 'three', 'persons,', 'one', 'of', 'them', 'the', 'young', 'sailor,']",16,4,20
81,186880,"fell upon him, and in spite of his resistance carried him into a sort of den partitioned off at the end of the back kitchen.","['fell', 'upon', 'him,', 'and', 'in', 'spite', 'of', 'his', 'resistance', 'carried', 'him', 'into', 'a', 'sort', 'of', 'den', 'partitioned', 'off', 'at', 'the', 'end', 'of', 'the', 'back', 'kitchen.']",25,4,34
82,101376,There he was seated on some sort of wooden bench and securely fastened.,"['there', 'he', 'was', 'seated', 'on', 'some', 'sort', 'of', 'wooden', 'bench', 'and', 'securely', 'fastened.']",13,4,18
83,185344,"A chain fixed to staples at his back passed round his chest under his arms, and was padlocked on the left side;","['a', 'chain', 'fixed', 'to', 'staples', 'at', 'his', 'back', 'passed', 'round', 'his', 'chest', 'under', 'his', 'arms,', 'and', 'was', 'padlocked', 'on', 'the', 'left', 'side;']",22,4,27
84,218368,"his feet were bound with cords and made fast to rings in the floor. Thus manacled, one of the party, who pretended to be Mrs. Canning's brother,","['his', 'feet', 'were', 'bound', 'with', 'cords', 'and', 'made', 'fast', 'to', 'rings', 'in', 'the', 'floor.', 'thus', 'manacled,', 'one', 'of', 'the', 'party,', 'who', 'pretended', 'to', 'be', 'mrs.', ""canning's"", 'brother,']",27,4,35
85,180480,"addressed him, insisting that he should forthwith sign a cheque for the eight hundred pounds of the Canning inheritance still uninvested,","['addressed', 'him,', 'insisting', 'that', 'he', 'should', 'forthwith', 'sign', 'a', 'cheque', 'for', 'the', 'eight', 'hundred', 'pounds', 'of', 'the', 'canning', 'inheritance', 'still', 'uninvested,']",21,5,33
86,136960,and write an order sufficient to secure the surrender of the other one thousand two hundred pounds.,"['and', 'write', 'an', 'order', 'sufficient', 'to', 'secure', 'the', 'surrender', 'of', 'the', 'other', 'one', 'thousand', 'two', 'hundred', 'pounds.']",17,4,27
87,61696,Mr. Gee at first stoutly refused.,"['mr.', 'gee', 'at', 'first', 'stoutly', 'refused.']",6,4,9
88,176640,"Then, as they warned him that he would be kept a prisoner in total darkness in this horrible den until he agreed to their demands,","['then,', 'as', 'they', 'warned', 'him', 'that', 'he', 'would', 'be', 'kept', 'a', 'prisoner', 'in', 'total', 'darkness', 'in', 'this', 'horrible', 'den', 'until', 'he', 'agreed', 'to', 'their', 'demands,']",25,4,35
89,92672,"he gave in, and signed the documents thus illegally extorted.","['he', 'gave', 'in,', 'and', 'signed', 'the', 'documents', 'thus', 'illegally', 'extorted.']",10,5,17
90,200704,"One was a cheque for eight hundred pounds on his bankers, the other an order to Mr. Bell of Newport, Essex, requesting the surrender of a deed.","['one', 'was', 'a', 'cheque', 'for', 'eight', 'hundred', 'pounds', 'on', 'his', 'bankers,', 'the', 'other', 'an', 'order', 'to', 'mr.', 'bell', 'of', 'newport,', 'essex,', 'requesting', 'the', 'surrender', 'of', 'a', 'deed.']",27,4,40
91,132352,"His captors having thus succeeded in their designs, left him, no doubt to realize the money.","['his', 'captors', 'having', 'thus', 'succeeded', 'in', 'their', 'designs,', 'left', 'him,', 'no', 'doubt', 'to', 'realize', 'the', 'money.']",16,4,24
92,151040,"The door of his place of durance stood open, and Mr. Gee began to consider whether he might not escape.","['the', 'door', 'of', 'his', 'place', 'of', 'durance', 'stood', 'open,', 'and', 'mr.', 'gee', 'began', 'to', 'consider', 'whether', 'he', 'might', 'not', 'escape.']",20,4,28
93,76544,"For three hours he struggled without success with his bonds,","['for', 'three', 'hours', 'he', 'struggled', 'without', 'success', 'with', 'his', 'bonds,']",10,5,15
94,163840,"but at length managed to wriggle out of the chain which confined his body, and soon loosened the ropes round his feet.","['but', 'at', 'length', 'managed', 'to', 'wriggle', 'out', 'of', 'the', 'chain', 'which', 'confined', 'his', 'body,', 'and', 'soon', 'loosened', 'the', 'ropes', 'round', 'his', 'feet.']",22,4,28
95,136448,"Thus free, he eluded the vigilance of two of the party, who were at dinner in the front kitchen,","['thus', 'free,', 'he', 'eluded', 'the', 'vigilance', 'of', 'two', 'of', 'the', 'party,', 'who', 'were', 'at', 'dinner', 'in', 'the', 'front', 'kitchen,']",19,4,27
96,125184,"and creeping out into the garden at the back, climbed the wall, and got into the street.","['and', 'creeping', 'out', 'into', 'the', 'garden', 'at', 'the', 'back,', 'climbed', 'the', 'wall,', 'and', 'got', 'into', 'the', 'street.']",17,4,24
97,188928,"His first act was to send a messenger to stop the cheque and the order to Mr. Bell, his next to seek the help of the police.","['his', 'first', 'act', 'was', 'to', 'send', 'a', 'messenger', 'to', 'stop', 'the', 'cheque', 'and', 'the', 'order', 'to', 'mr.', 'bell,', 'his', 'next', 'to', 'seek', 'the', 'help', 'of', 'the', 'police.']",27,3,34
98,172032,"Two Bow Street runners were dispatched to the house in York Street, which had evidently been taken on purpose for the outrage.","['two', 'bow', 'street', 'runners', 'were', 'dispatched', 'to', 'the', 'house', 'in', 'york', 'street,', 'which', 'had', 'evidently', 'been', 'taken', 'on', 'purpose', 'for', 'the', 'outrage.']",22,4,31
99,193536,"There was no furniture in the place, and the den in the kitchen had been recently and specially constructed of boards of immense strength and thickness.","['there', 'was', 'no', 'furniture', 'in', 'the', 'place,', 'and', 'the', 'den', 'in', 'the', 'kitchen', 'had', 'been', 'recently', 'and', 'specially', 'constructed', 'of', 'boards', 'of', 'immense', 'strength', 'and', 'thickness.']",26,4,38
100,185088,"It was a cell five feet by three, within another, the intervening being filled with rammed earth to deaden the sound.","['it', 'was', 'a', 'cell', 'five', 'feet', 'by', 'three,', 'within', 'another,', 'the', 'intervening', 'being', 'filled', 'with', 'rammed', 'earth', 'to', 'deaden', 'the', 'sound.']",21,4,30
101,180224,"The Chronicles of Newgate, Volume two. By Arthur Griffiths. Section fifteen: Newgate notorieties, part three","['the', 'chronicles', 'of', 'newgate,', 'volume', 'two.', 'by', 'arthur', 'griffiths.', 'section', 'fifteen:', 'newgate', 'notorieties,', 'part', 'three']",15,6,26
102,73728,On the arrival of the police the house was empty.,"['on', 'the', 'arrival', 'of', 'the', 'police', 'the', 'house', 'was', 'empty.']",10,4,14
103,191744,"The two men on guard had gone off immediately after Mr. Gee had escaped, but they returned later in the day, and were apprehended.","['the', 'two', 'men', 'on', 'guard', 'had', 'gone', 'off', 'immediately', 'after', 'mr.', 'gee', 'had', 'escaped,', 'but', 'they', 'returned', 'later', 'in', 'the', 'day,', 'and', 'were', 'apprehended.']",24,4,35
104,164096,Inquiries set on foot also elicited the suspicion that the person who had represented Mrs. Canning's brother,"['inquiries', 'set', 'on', 'foot', 'also', 'elicited', 'the', 'suspicion', 'that', 'the', 'person', 'who', 'had', 'represented', 'mrs.', ""canning's"", 'brother']",17,5,33
